,ticker,forecast_horizon,indicator,parameter,metric,value
134,AAPL,2,bbands,20,above_bb_upperband_p-value,0.3000170768883975
135,AAPL,2,bbands,20,below_bb_lowerband_p-value,0.007123372180669297
136,AAPL,2,bbands,30,above_bb_upperband_pct,0.10096063288754945
137,AAPL,2,bbands,30,above_bb_upperband_bullish_pct,0.5988805970149254
138,AAPL,2,bbands,30,below_bb_lowerband_pct,0.04087398756828028
139,AAPL,2,bbands,30,below_bb_lowerband_bullish_pct,0.6267281105990783
140,AAPL,2,bbands,30,above_bb_upperband_p-value,0.4382039811699135
141,AAPL,2,bbands,30,below_bb_lowerband_p-value,0.025102443149764352
142,AAPL,3,general,NA,bullish_pct,0.5901053423626788
143,AAPL,3,general,NA,long_pct,0.21369450714823177
144,AAPL,3,general,NA,short_pct,0.1630925507900677
145,AAPL,3,general,NA,mean_returns,0.3760293441274693
146,AAPL,3,general,NA,volatility,4.0522784379722285
147,AAPL,3,general,NA,mean_volume,437903955.71858543
148,AAPL,3,general,NA,trend_p-value,1.0824624192595166e-10
149,AAPL,3,general,NA,position_p-value,0.4429283362194529
150,AAPL,3,sma,14,above_sma_pct,0.5914221218961625
151,AAPL,3,sma,14,above_sma_bullish_pct,0.5982824427480916
152,AAPL,3,sma,14,below_sma_bullish_pct,0.5791896869244936
153,AAPL,3,sma,14,sma_p-value,0.2858666613055181
154,AAPL,3,sma,20,above_sma_pct,0.6057185854025583
155,AAPL,3,sma,20,above_sma_bullish_pct,0.5996894409937888
156,AAPL,3,sma,20,below_sma_bullish_pct,0.5763358778625954
157,AAPL,3,sma,20,sma_p-value,0.05343771887518739
158,AAPL,3,sma,50,above_sma_pct,0.6557562076749436
159,AAPL,3,sma,50,above_sma_bullish_pct,0.595811818703385
160,AAPL,3,sma,50,below_sma_bullish_pct,0.580327868852459
161,AAPL,3,sma,50,sma_p-value,0.1582966019772346
162,AAPL,3,sma,100,above_sma_pct,0.6945071482317532
163,AAPL,3,sma,100,above_sma_bullish_pct,0.5950704225352113
164,AAPL,3,sma,100,below_sma_bullish_pct,0.5800492610837439
165,AAPL,3,sma,100,sma_p-value,0.06634482481213896
166,AAPL,3,rsi,14,overbought_pct,0.13920240782543267
167,AAPL,3,rsi,14,overbought_bullish_pct,0.6472972972972973
168,AAPL,3,rsi,14,oversold_pct,0.024830699774266364
169,AAPL,3,rsi,14,oversold_bullish_pct,0.6439393939393939
170,AAPL,3,rsi,14,trend_change_accuracy,0.4584837545126354
171,AAPL,3,rsi,14,overbought_p-value,0.011908424922808932
172,AAPL,3,rsi,14,oversold_p-value,0.012648038118609633
173,AAPL,3,rsi,28,overbought_pct,0.059443190368698266
174,AAPL,3,rsi,28,overbought_bullish_pct,0.6392405063291139
175,AAPL,3,rsi,28,oversold_pct,0.001128668171557562
176,AAPL,3,rsi,28,oversold_bullish_pct,0.6666666666666666
177,AAPL,3,rsi,28,trend_change_accuracy,0.4166666666666667
178,AAPL,3,rsi,28,overbought_p-value,0.12186753602928169
179,AAPL,3,rsi,28,oversold_p-value,
180,AAPL,3,rsi,42,overbought_pct,0.035364936042136946
181,AAPL,3,rsi,42,overbought_bullish_pct,0.6223404255319149
182,AAPL,3,rsi,42,oversold_pct,0.0
183,AAPL,3,rsi,42,oversold_bullish_pct,
184,AAPL,3,rsi,42,trend_change_accuracy,0.4339622641509434
185,AAPL,3,rsi,42,overbought_p-value,0.3071226727510705
186,AAPL,3,rsi,42,oversold_p-value,
187,AAPL,3,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_buy_bullish_pct,0.617678381256656
188,AAPL,3,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_sell_bullish_pct,0.5877777777777777
189,AAPL,3,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_buy_bullish_pct,0.5787671232876712
190,AAPL,3,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_sell_bullish_pct,0.5673886883273165
191,AAPL,3,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_signal_accuracy,0.5310344827586206
192,AAPL,3,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_signal_accuracy,0.4830575256107171
193,AAPL,3,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_buy_p-value,0.18417794719484432
194,AAPL,3,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_sell_p-value,0.29030761593277954
195,AAPL,3,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_buy_p-value,0.3078335471981154
196,AAPL,3,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_sell_p-value,0.4685865605224763
197,AAPL,3,ppo,"{'fastperiod': 12, 'slowperiod': 26}",positive_ppo_pct,0.6183220466516177
198,AAPL,3,ppo,"{'fastperiod': 12, 'slowperiod': 26}",positive_ppo_bullish_pct,0.5984180103437785
199,AAPL,3,ppo,"{'fastperiod': 12, 'slowperiod': 26}",negative_ppo_bullish_pct,0.5776244455396747
200,AAPL,3,ppo,"{'fastperiod': 12, 'slowperiod': 26}",ppo_p-value,0.11684836753034722
201,AAPL,3,bbands,20,above_bb_upperband_pct,0.07900677200902935
202,AAPL,3,bbands,20,above_bb_upperband_bullish_pct,0.6214285714285714
203,AAPL,3,bbands,20,below_bb_lowerband_pct,0.04251316779533484
204,AAPL,3,bbands,20,below_bb_lowerband_bullish_pct,0.6548672566371682
205,AAPL,3,bbands,20,above_bb_upperband_p-value,0.4763755551358166
206,AAPL,3,bbands,20,below_bb_lowerband_p-value,0.00744359422009825
207,AAPL,3,bbands,30,above_bb_upperband_pct,0.10082768999247554
208,AAPL,3,bbands,30,above_bb_upperband_bullish_pct,0.6194029850746269
209,AAPL,3,bbands,30,below_bb_lowerband_pct,0.040067720090293454
210,AAPL,3,bbands,30,below_bb_lowerband_bullish_pct,0.6666666666666666
211,AAPL,3,bbands,30,above_bb_upperband_p-value,0.29569360287200075
212,AAPL,3,bbands,30,below_bb_lowerband_p-value,0.00019552677787660833
213,AAPL,5,general,NA,bullish_pct,0.5978955279969936
214,AAPL,5,general,NA,long_pct,0.2211574596016535
215,AAPL,5,general,NA,short_pct,0.1587748966553927
216,AAPL,5,general,NA,mean_returns,0.6314069836061295
217,AAPL,5,general,NA,volatility,5.371482337630846
218,AAPL,5,general,NA,mean_volume,439531319.33483654
219,AAPL,5,general,NA,trend_p-value,0.00010482634681103623
220,AAPL,5,general,NA,position_p-value,0.11484122827985171
221,AAPL,5,sma,14,above_sma_pct,0.5918827508455468
222,AAPL,5,sma,14,above_sma_bullish_pct,0.5974603174603175
223,AAPL,5,sma,14,below_sma_bullish_pct,0.5971454880294659
224,AAPL,5,sma,14,sma_p-value,0.4579967940392484
225,AAPL,5,sma,20,above_sma_pct,0.604847801578354
226,AAPL,5,sma,20,above_sma_bullish_pct,0.6036036036036037
227,AAPL,5,sma,20,below_sma_bullish_pct,0.5877318116975749
228,AAPL,5,sma,20,sma_p-value,0.0978710416839203
229,AAPL,5,sma,50,above_sma_pct,0.6553927095077039
230,AAPL,5,sma,50,above_sma_bullish_pct,0.6060779816513762
231,AAPL,5,sma,50,below_sma_bullish_pct,0.5806979280261723
232,AAPL,5,sma,50,sma_p-value,0.07144820360346553
233,AAPL,5,sma,100,above_sma_pct,0.6952273581360391
234,AAPL,5,sma,100,above_sma_bullish_pct,0.6037837837837838
235,AAPL,5,sma,100,below_sma_bullish_pct,0.5826140567200987
236,AAPL,5,sma,100,sma_p-value,0.10205992985235368
237,AAPL,5,rsi,14,overbought_pct,0.1414881623449831
238,AAPL,5,rsi,14,overbought_bullish_pct,0.6414342629482072
239,AAPL,5,rsi,14,oversold_pct,0.02461480646373544
240,AAPL,5,rsi,14,oversold_bullish_pct,0.5877862595419847
241,AAPL,5,rsi,14,trend_change_accuracy,0.4052044609665427
242,AAPL,5,rsi,14,overbought_p-value,0.007249365379404001
243,AAPL,5,rsi,14,oversold_p-value,0.3515404668509663
244,AAPL,5,rsi,28,overbought_pct,0.06050357008643367
245,AAPL,5,rsi,28,overbought_bullish_pct,0.6304347826086957
246,AAPL,5,rsi,28,oversold_pct,0.0009394964299135663
247,AAPL,5,rsi,28,oversold_bullish_pct,0.6
248,AAPL,5,rsi,28,trend_change_accuracy,0.33695652173913043
249,AAPL,5,rsi,28,overbought_p-value,0.049862321481368044
250,AAPL,5,rsi,28,oversold_p-value,
251,AAPL,5,rsi,42,overbought_pct,0.03626456219466366
252,AAPL,5,rsi,42,overbought_bullish_pct,0.616580310880829
253,AAPL,5,rsi,42,oversold_pct,0.0
254,AAPL,5,rsi,42,oversold_bullish_pct,
255,AAPL,5,rsi,42,trend_change_accuracy,0.39622641509433965
256,AAPL,5,rsi,42,overbought_p-value,0.36096080736170943
257,AAPL,5,rsi,42,oversold_p-value,
258,AAPL,5,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_buy_bullish_pct,0.6138297872340426
259,AAPL,5,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_sell_bullish_pct,0.6046770601336303
260,AAPL,5,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_buy_bullish_pct,0.5592255125284739
261,AAPL,5,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_sell_bullish_pct,0.5948379351740696
262,AAPL,5,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_signal_accuracy,0.5288932419196866
263,AAPL,5,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_signal_accuracy,0.4583333333333333
264,AAPL,5,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_buy_p-value,0.2440388064259973
265,AAPL,5,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_sell_p-value,0.3355106475331928
266,AAPL,5,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_buy_p-value,0.10883439875865758
267,AAPL,5,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_sell_p-value,0.2692705295966955
268,AAPL,5,ppo,"{'fastperiod': 12, 'slowperiod': 26}",positive_ppo_pct,0.6170612551672303
269,AAPL,5,ppo,"{'fastperiod': 12, 'slowperiod': 26}",positive_ppo_bullish_pct,0.6096224116930572
270,AAPL,5,ppo,"{'fastperiod': 12, 'slowperiod': 26}",negative_ppo_bullish_pct,0.5775269872423945
271,AAPL,5,ppo,"{'fastperiod': 12, 'slowperiod': 26}",ppo_p-value,0.047885759469991594
272,AAPL,5,bbands,20,above_bb_upperband_pct,0.07985719654265314
273,AAPL,5,bbands,20,above_bb_upperband_bullish_pct,0.6305882352941177
274,AAPL,5,bbands,20,below_bb_lowerband_pct,0.042277339346110485
275,AAPL,5,bbands,20,below_bb_lowerband_bullish_pct,0.5911111111111111
276,AAPL,5,bbands,20,above_bb_upperband_p-value,0.2020507527325655
277,AAPL,5,bbands,20,below_bb_lowerband_p-value,0.4325484299603523
278,AAPL,5,bbands,30,above_bb_upperband_pct,0.1018414130026306
279,AAPL,5,bbands,30,above_bb_upperband_bullish_pct,0.6420664206642066
280,AAPL,5,bbands,30,below_bb_lowerband_pct,0.03983464862833521
281,AAPL,5,bbands,30,below_bb_lowerband_bullish_pct,0.6509433962264151
282,AAPL,5,bbands,30,above_bb_upperband_p-value,0.07562664587098834
283,AAPL,5,bbands,30,below_bb_lowerband_p-value,0.13800621716767808
284,AAPL,10,general,NA,bullish_pct,0.6097606934237799
